# a0	a1	a2	a3	d0	d1	d2
   1	   4	  16	   8	  -1	   0	   0
   0	   6	  17	   9	  -1	   0	   0
   3	   5	  24	  10	  -1	   0	   0
   2	   7	  25	  11	  -1	   0	   0
   5	   0	  32	  12	  -1	   0	   0
   4	   2	  33	  13	  -1	   0	   0
   7	   1	  40	  14	  -1	   0	   0
   6	   3	  41	  15	  -1	   0	   0
   9	  12	  18	   0	   1	   0	   0
   8	  14	  19	   1	   1	   0	   0
  11	  13	  26	   2	   1	   0	   0
  10	  15	  27	   3	   1	   0	   0
  13	   8	  34	   4	   1	   0	   0
  12	  10	  35	   5	   1	   0	   0
  15	   9	  42	   6	   1	   0	   0
  14	  11	  43	   7	   1	   0	   0
  17	  20	   0	  24	   0	  -1	   0
  16	  22	   1	  25	   0	  -1	   0
  19	  21	   8	  26	   0	  -1	   0
  18	  23	   9	  27	   0	  -1	   0
  21	  16	  36	  28	   0	  -1	   0
  20	  18	  37	  29	   0	  -1	   0
  23	  17	  44	  30	   0	  -1	   0
  22	  19	  45	  31	   0	  -1	   0
  25	  28	   2	  16	   0	   1	   0
  24	  30	   3	  17	   0	   1	   0
  27	  29	  10	  18	   0	   1	   0
  26	  31	  11	  19	   0	   1	   0
  29	  24	  38	  20	   0	   1	   0
  28	  26	  39	  21	   0	   1	   0
  31	  25	  46	  22	   0	   1	   0
  30	  27	  47	  23	   0	   1	   0
  33	  36	   4	  40	   0	   0	  -1
  32	  38	   5	  41	   0	   0	  -1
  35	  37	  12	  42	   0	   0	  -1
  34	  39	  13	  43	   0	   0	  -1
  37	  32	  20	  44	   0	   0	  -1
  36	  34	  21	  45	   0	   0	  -1
  39	  33	  28	  46	   0	   0	  -1
  38	  35	  29	  47	   0	   0	  -1
  41	  44	   6	  32	   0	   0	   1
  40	  46	   7	  33	   0	   0	   1
  43	  45	  14	  34	   0	   0	   1
  42	  47	  15	  35	   0	   0	   1
  45	  40	  22	  36	   0	   0	   1
  44	  42	  23	  37	   0	   0	   1
  47	  41	  30	  38	   0	   0	   1
  46	  43	  31	  39	   0	   0	   1
